timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime
1744892417163,87,GET /cars,200,,Scenario 1: Get Cars List 1-1,text,true,,174,178,1,3,http://localhost:8080/cars,86,0
1744892417163,97,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-1,text,true,,177,210,1,2,http://localhost:8080/cars/rent/ABC123,97,0
1744892417163,98,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-1,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,98,0
1744892417665,4,GET /cars,200,,Scenario 1: Get Cars List 1-2,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892417697,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-2,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892417772,3,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-2,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,3,0
1744892418265,11,GET /cars,200,,Scenario 1: Get Cars List 1-3,text,true,,174,178,1,1,http://localhost:8080/cars,11,0
1744892418297,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-3,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,4,0
1744892418438,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-3,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892418864,3,GET /cars,200,,Scenario 1: Get Cars List 1-4,text,true,,174,178,1,1,http://localhost:8080/cars,3,0
1744892418895,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-4,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892419106,11,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-4,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,11,0
1744892419466,10,GET /cars,200,,Scenario 1: Get Cars List 1-5,text,true,,174,178,1,1,http://localhost:8080/cars,10,0
1744892419494,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-5,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892419773,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-5,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892420064,4,GET /cars,200,,Scenario 1: Get Cars List 1-6,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892420095,11,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-6,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,11,0
1744892420441,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-6,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,4,0
1744892420664,11,GET /cars,200,,Scenario 1: Get Cars List 1-7,text,true,,174,178,1,1,http://localhost:8080/cars,11,0
1744892420696,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-7,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892421106,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-7,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892421265,13,GET /cars,200,,Scenario 1: Get Cars List 1-8,text,true,,174,178,1,1,http://localhost:8080/cars,12,0
1744892421296,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-8,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892421774,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-8,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,4,0
1744892421864,4,GET /cars,200,,Scenario 1: Get Cars List 1-9,text,true,,174,178,1,1,http://localhost:8080/cars,3,0
1744892421896,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-9,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892422443,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-9,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892422464,4,GET /cars,200,,Scenario 1: Get Cars List 1-10,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892422495,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-10,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892423065,4,GET /cars,200,,Scenario 1: Get Cars List 1-11,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892423095,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-11,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,5,0
1744892423109,5,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-10,,true,,121,212,1,1,http://localhost:8080/cars/return/ABC123,5,0
1744892423663,4,GET /cars,200,,Scenario 1: Get Cars List 1-12,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892423695,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-12,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892423774,3,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-11,,true,,121,212,1,1,http://localhost:8080/cars/return/DEF456,3,0
1744892424264,7,GET /cars,200,,Scenario 1: Get Cars List 1-13,text,true,,174,178,1,1,http://localhost:8080/cars,7,0
1744892424295,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-13,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,5,0
1744892424443,5,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-12,,true,,121,212,1,1,http://localhost:8080/cars/return/ABC123,5,0
1744892424864,6,GET /cars,200,,Scenario 1: Get Cars List 1-14,text,true,,174,178,1,1,http://localhost:8080/cars,6,0
